F_tjek_id,T_tjek_id,F_dkvejeid,T_dkvejeid,F_edge_dir,T_edge_dir
171908,171885,434290,434292,ft,tf
171909,171885,434291,434292,tf,tf
171885,171908,434292,434290,ft,tf
171885,171909,434292,434291,ft,ft
171609,171799,434824,434843,tf,tf
171799,4003637,434843,434922,ft,tf
171799,171800,434843,434844,ft,ft
171799,171609,434843,434824,ft,ft
171800,171799,434844,434843,tf,tf
4003637,171799,434922,434843,ft,tf
171174,171113,433954,434019,ft,ft
171174,171112,433954,433971,ft,tf
171112,171174,433971,433954,ft,tf
171113,171174,434019,433954,tf,tf
173434,173586,424385,424395,ft,tf
173435,173586,424386,424395,tf,tf
173586,173435,424395,424386,ft,ft
173586,173434,424395,424385,ft,tf
173383,173541,424586,424665,ft,ft
173384,173541,424587,424665,tf,ft
173541,173383,424665,424586,tf,tf
173541,173384,424665,424587,tf,ft
146159,146169,425636,425638,ft,ft
146159,146168,425636,425637,ft,tf
146168,146159,425637,425636,ft,tf
146169,146159,425638,425636,tf,tf
146424,146448,427634,427636,ft,tf
146424,146425,427634,427635,ft,ft
146425,146424,427635,427634,tf,tf
146448,146424,427636,427634,ft,tf
147296,147314,433377,433379,tf,tf
147314,147296,433379,433377,ft,ft
169685,169789,429559,429568,ft,tf
169686,169789,429560,429568,tf,tf
169789,169686,429568,429560,ft,ft
169789,169685,429568,429559,ft,tf
169796,169797,429488,429540,ft,ft
169797,169796,429540,429488,tf,tf
4160835,4160809,440862,440863,ft,ft
4160809,4160835,440863,440862,tf,tf
150260,150384,441247,441604,ft,tf
151852,150384,441266,441604,tf,tf
150384,150260,441604,441247,ft,tf
150384,151852,441604,441266,ft,ft
150384,4064544,441604,441635,ft,ft
4064544,150384,441635,441604,tf,tf
149902,150413,442138,442150,tf,tf
150320,150413,442143,442150,tf,tf
149901,150413,442148,442150,ft,tf
150127,150142,441985,441987,ft,ft
150128,150142,441986,441987,tf,ft
150142,150127,441987,441985,tf,tf
150142,150128,441987,441986,tf,ft
134217,134396,440397,440398,ft,tf
134396,134397,440398,440399,ft,ft
134396,134217,440398,440397,ft,tf
134397,134396,440399,440398,tf,tf
150137,150194,441982,441984,tf,ft
150137,150193,441982,441983,tf,tf
150193,150137,441983,441982,ft,ft
150194,150137,441984,441982,tf,ft
151846,151844,442069,442070,tf,ft
151846,4064318,442069,442071,tf,tf
151844,151846,442070,442069,tf,ft
4064318,151846,442071,442069,ft,ft
150329,150340,442399,442401,ft,ft
150330,150340,442400,442401,tf,ft
150340,150329,442401,442399,tf,tf
150340,150330,442401,442400,tf,ft
4081938,4081935,439790,439791,ft,ft
4081935,4081938,439791,439790,tf,tf
149612,150285,442285,442287,ft,ft
150273,150285,442286,442287,ft,ft
150285,150274,442287,442402,tf,ft
150285,149612,442287,442285,tf,tf
150285,150273,442287,442286,tf,tf
150274,150285,442402,442287,tf,ft
150277,149651,442322,442320,ft,tf
150278,149651,442338,442320,tf,tf
149722,150435,442409,442412,ft,ft
150323,150435,442410,442412,tf,ft
150325,150435,442411,442412,tf,ft
150435,150323,442412,442410,tf,ft
150435,149722,442412,442409,tf,tf
150435,150325,442412,442411,tf,ft
134330,135130,439792,439793,tf,tf
135130,135131,439793,439794,ft,ft
135130,134330,439793,439792,ft,ft
135131,135130,439794,439793,tf,tf
149848,149909,442481,442546,tf,ft
149848,149847,442481,442730,tf,tf
149848,149908,442481,442529,tf,tf
149908,149848,442529,442481,ft,ft
149908,149847,442529,442730,ft,tf
149909,149847,442546,442730,tf,tf
149909,149848,442546,442481,tf,ft
149847,149908,442730,442529,ft,tf
149847,149848,442730,442481,ft,ft
149847,149909,442730,442546,ft,ft
149765,151821,442600,442603,ft,ft
149766,151821,442601,442603,tf,ft
151821,149765,442603,442600,tf,tf
151821,149766,442603,442601,tf,ft
149716,149716,442599,442599,tf,ft
149716,151800,442599,442605,tf,tf
151801,149716,442602,442599,tf,ft
151801,151800,442602,442605,tf,tf
151800,151801,442605,442602,ft,ft
133498,133738,439797,439835,ft,ft
133737,133738,439834,439835,ft,ft
133738,133499,439835,439865,tf,ft
133738,133737,439835,439834,tf,tf
133738,133498,439835,439797,tf,tf
133499,133738,439865,439835,tf,ft
133804,133807,438694,438695,ft,ft
133807,135508,438695,438696,tf,tf
133807,133804,438695,438694,tf,tf
133807,135509,438695,438697,tf,ft
135508,133807,438696,438695,ft,ft
135509,133807,438697,438695,tf,ft
149938,149926,442902,442941,tf,tf
149926,149937,442941,442943,ft,tf
149926,149938,442941,442902,ft,ft
149937,149926,442943,442941,ft,tf
133314,134032,438755,438756,ft,ft
134032,133314,438756,438755,tf,tf
134032,133690,438756,439983,tf,tf
134032,133315,438756,439982,tf,ft
133315,134032,439982,438756,tf,ft
133690,134032,439983,438756,ft,ft
133033,133679,438706,439816,ft,ft
133033,133678,438706,438715,ft,tf
133678,133033,438715,438706,ft,tf
133679,133033,439816,438706,tf,tf
132961,133045,438701,438708,ft,ft
132961,133044,438701,440878,ft,tf
133045,132961,438708,438701,tf,tf
133044,132961,440878,438701,ft,tf
133042,133717,438707,440882,ft,ft
149097,149403,443266,443276,ft,ft
149403,149943,443276,443352,tf,tf
149403,149097,443276,443266,tf,tf
149403,149944,443276,443278,tf,ft
149944,149403,443278,443276,tf,ft
149943,149403,443352,443276,ft,ft
132724,135142,440702,440725,tf,tf
132971,135142,440704,440725,ft,tf
135142,132723,440725,440729,ft,tf
135142,132971,440725,440704,ft,tf
135142,132724,440725,440702,ft,ft
132723,135142,440729,440725,ft,tf
132737,132775,440748,440749,tf,tf
132775,135517,440749,440751,ft,tf
132775,132776,440749,440750,ft,ft
132775,132737,440749,440748,ft,ft
132776,132775,440750,440749,tf,tf
135517,132775,440751,440749,ft,tf
133024,135151,440800,440803,ft,ft
133025,135151,440801,440803,tf,ft
135151,133025,440803,440801,tf,ft
135151,133024,440803,440800,tf,tf
132735,132771,440771,440772,ft,tf
132771,132735,440772,440771,ft,tf
132771,132736,440772,440781,ft,ft
132736,132771,440781,440772,tf,tf
132801,133170,440782,440783,ft,tf
133170,132802,440783,440784,ft,ft
133170,132801,440783,440782,ft,tf
132802,133170,440784,440783,tf,tf
4081937,4081936,439175,440788,ft,ft
4081936,4081937,440788,439175,tf,tf
135521,135522,439170,439171,tf,ft
135522,135521,439171,439170,tf,ft
135522,135523,439171,439172,tf,tf
135523,135522,439172,439171,ft,ft
132564,132668,440529,440548,ft,ft
132564,132667,440529,440547,ft,tf
132667,132564,440547,440529,ft,tf
132668,132564,440548,440529,tf,tf
135575,135581,439144,440647,tf,tf
135575,135576,439144,439145,tf,ft
135576,135575,439145,439144,tf,ft
135581,135575,440647,439144,ft,ft
135581,135579,440647,440652,tf,ft
135579,135580,440652,440653,tf,tf
135579,135581,440652,440647,tf,ft
135580,135579,440653,440652,ft,ft
132563,132654,440528,440542,tf,ft
132563,132653,440528,440541,tf,tf
132653,132563,440541,440528,ft,ft
132654,132563,440542,440528,tf,ft
132551,132606,440601,440603,ft,ft
132605,132606,440602,440603,ft,ft
132606,132551,440603,440601,tf,tf
132606,132605,440603,440602,tf,tf
132606,132611,440603,440604,tf,ft
132611,132606,440604,440603,tf,ft
132551,132643,440601,440605,tf,tf
132643,132550,440605,440606,ft,tf
132643,132551,440605,440601,ft,ft
132550,132643,440606,440605,ft,tf
132550,132639,440606,440608,tf,tf
132550,135584,440606,440609,tf,ft
132549,135584,440607,440609,ft,ft
132549,132639,440607,440608,ft,tf
132639,132549,440608,440607,ft,tf
132639,135584,440608,440609,ft,ft
132639,132550,440608,440606,ft,ft
135584,132550,440609,440606,tf,ft
135584,132639,440609,440608,tf,tf
135584,132549,440609,440607,tf,tf
131973,131925,454538,454539,ft,ft
131925,131973,454539,454538,tf,tf
131925,131974,454539,454540,tf,ft
131974,131925,454540,454539,tf,ft
147954,147900,450352,450385,ft,tf
147954,147957,450352,450355,ft,ft
147954,147901,450352,450386,ft,ft
147957,147954,450355,450352,tf,tf
147900,147954,450385,450352,ft,tf
147901,147954,450386,450352,tf,tf
159442,159443,231243,231244,ft,tf
159442,159447,231243,231248,ft,ft
159443,159448,231244,231249,ft,ft
159443,159442,231244,231243,ft,tf
159447,159442,231248,231243,tf,tf
159447,159448,231248,231249,tf,ft
159448,159447,231249,231248,tf,ft
159448,159443,231249,231244,tf,tf
157780,157791,231277,231279,ft,ft
157781,157791,231278,231279,tf,ft
157791,157781,231279,231278,tf,ft
157791,157780,231279,231277,tf,tf
159110,159106,452007,474719,tf,tf
159106,159110,474719,452007,ft,ft
180587,180586,459431,459572,tf,ft
180587,180585,459431,459571,tf,tf
180585,180587,459571,459431,ft,ft
180586,180587,459572,459431,tf,ft
180693,180921,459955,460065,ft,tf
180693,180922,459955,459956,ft,ft
180922,180693,459956,459955,tf,tf
180921,180693,460065,459955,ft,tf
180675,180925,459935,459936,tf,ft
180675,180674,459935,459937,tf,tf
180925,180675,459936,459935,tf,ft
180674,180675,459937,459935,ft,ft
180075,180111,460139,460142,ft,tf
180075,180112,460139,460143,ft,ft
180111,180075,460142,460139,ft,tf
180112,180075,460143,460139,tf,tf
180314,180322,459323,459487,tf,ft
180318,180322,459324,459487,ft,ft
180319,180322,459486,459487,tf,ft
180322,180319,459487,459486,tf,ft
180322,180314,459487,459323,tf,ft
180322,180318,459487,459324,tf,tf
121598,4003546,474533,474535,ft,ft
121599,4003546,474534,474535,tf,ft
4003546,121598,474535,474533,tf,tf
4003546,121599,474535,474534,tf,ft
121538,121980,474157,474422,ft,ft
121538,4004667,474157,474159,ft,ft
4004667,121538,474159,474157,tf,tf
121980,121538,474422,474157,tf,tf
121366,4058323,473930,474073,ft,tf
121367,4058323,473931,474073,tf,tf
4058323,121367,474073,473931,ft,ft
4058323,121366,474073,473930,ft,tf
121928,4058222,474041,474046,ft,tf
121928,4085932,474041,474050,ft,ft
4058222,121928,474046,474041,ft,tf
4085932,121928,474050,474041,tf,tf
165617,165673,235248,235287,tf,ft
165617,166241,235248,235301,tf,ft
165673,165617,235287,235248,tf,ft
166241,165617,235301,235248,tf,ft
121783,121890,473828,473816,ft,ft
121767,121783,473826,473828,ft,ft
121767,121782,473826,473827,ft,tf
121782,121767,473827,473826,ft,tf
121794,121772,473902,473910,tf,tf
121772,121753,473910,474880,ft,ft
121772,121794,473910,473902,ft,ft
121772,121752,473910,474879,ft,tf
121752,121772,474879,473910,ft,tf
121753,121772,474880,473910,tf,tf
120384,4158298,473396,473436,ft,tf
4158295,4158298,473430,473436,tf,tf
4158298,4158295,473436,473430,ft,ft
4158298,120384,473436,473396,ft,tf
164918,164797,236815,236863,ft,ft
164797,164919,236863,236876,tf,ft
164797,164918,236863,236815,tf,tf
164919,164797,236876,236863,tf,ft
164476,164767,236892,236919,tf,tf
164768,164767,236893,236919,tf,tf
164767,164476,236919,236892,ft,ft
164767,164768,236919,236893,ft,ft
166169,164826,236827,236908,ft,ft
166169,164766,236827,236907,ft,ft
166169,165099,236827,236884,ft,tf
165099,166169,236884,236827,ft,tf
164766,166169,236907,236827,tf,tf
164826,166169,236908,236827,tf,tf
164578,164580,235887,235889,ft,tf
164579,164580,235888,235889,tf,tf
164580,164579,235889,235888,ft,ft
164580,164581,235889,235890,ft,ft
164580,164578,235889,235887,ft,tf
164581,164580,235890,235889,tf,tf
4145223,4145261,475158,475159,tf,ft
4145261,4145223,475159,475158,tf,ft
4145261,4145254,475159,475555,tf,tf
163751,163765,235125,235907,tf,tf
163750,163765,235905,235907,ft,tf
163765,163750,235907,235905,ft,tf
163765,163751,235907,235125,ft,ft
164263,164243,234373,234367,tf,tf
164264,164264,234374,234374,tf,ft
164264,164263,234374,234373,tf,tf
164275,164264,234379,234374,ft,ft
164275,164263,234379,234373,ft,tf
124068,124067,451378,451928,tf,tf
124068,124280,451378,451932,tf,ft
124067,124280,451928,451932,ft,ft
124067,124068,451928,451378,ft,ft
124280,124067,451932,451928,tf,tf
123736,125677,455941,455943,tf,tf
123736,123754,455941,455953,tf,tf
123736,123745,455941,455942,tf,ft
123745,123736,455942,455941,tf,ft
125677,123736,455943,455941,ft,ft
123754,123736,455953,455941,ft,ft
125559,123118,455832,455871,ft,ft
123118,125560,455871,455934,tf,ft
123118,125559,455871,455832,tf,tf
125560,123118,455934,455871,tf,ft
183634,184572,237339,237384,tf,ft
184590,184572,237353,237384,tf,ft
185076,184572,237362,237384,ft,ft
184572,185076,237384,237362,tf,tf
184572,184590,237384,237353,tf,ft
184572,183634,237384,237339,tf,ft
186046,185879,458257,458364,ft,tf
186047,185879,458258,458364,tf,tf
185879,186047,458364,458258,ft,ft
185879,186046,458364,458257,ft,tf
183443,185059,458211,458237,ft,ft
183444,185059,458236,458237,tf,ft
185059,183443,458237,458211,tf,tf
185059,183444,458237,458236,tf,ft
342745,342760,222941,222950,ft,tf
342760,342796,222950,222968,ft,tf
342760,342745,222950,222941,ft,tf
342796,342760,222968,222950,ft,tf
194302,194321,458019,458058,tf,tf
194301,194321,458055,458058,ft,tf
194321,194301,458058,458055,ft,tf
194321,194302,458058,458019,ft,ft
194134,199455,460519,460521,tf,ft
194134,194132,460519,460531,tf,tf
199455,194134,460521,460519,tf,ft
194132,194134,460531,460519,ft,ft
195151,195150,462262,466778,tf,tf
195150,195151,466778,462262,ft,ft
129406,129409,228346,228349,ft,tf
129321,129412,228402,228352,ft,ft
129321,129411,228402,228351,ft,tf
193155,198218,467583,467586,ft,ft
193155,198219,467583,476826,ft,tf
198218,193155,467586,467583,tf,tf
198219,193155,476826,467583,ft,tf
140643,140712,448813,448814,tf,tf
140712,140643,448814,448813,ft,ft
140712,140642,448814,453609,ft,tf
140642,140712,453609,448814,ft,tf
4106442,4106443,448157,448158,ft,ft
4106443,4106442,448158,448157,tf,tf
192532,192464,465306,466162,ft,ft
192538,192464,465307,466162,ft,ft
192538,192532,465307,465306,ft,tf
192591,192464,465387,466162,tf,ft
192464,192591,466162,465387,tf,ft
192464,192532,466162,465306,tf,tf
192464,192538,466162,465307,tf,tf
140410,140397,452993,452997,tf,tf
140410,140398,452993,452998,tf,ft
140397,140410,452997,452993,ft,ft
140398,140410,452998,452993,tf,ft
118769,118831,228854,228896,ft,ft
118831,118769,228896,228854,tf,tf
192243,192341,465409,465410,ft,ft
4145765,4145765,465950,465950,tf,ft
4145765,4145763,465950,466105,tf,tf
4145763,4145763,466105,466105,ft,tf
4145763,4145762,466105,466106,ft,tf
4145765,4145765,465950,465950,ft,tf
4145765,4145766,465950,465952,ft,ft
4145766,4145766,465952,465952,tf,ft
4145766,4145764,465952,465951,tf,ft
192339,192340,463016,465414,ft,ft
192367,192340,463020,465414,ft,ft
192340,192416,465414,465415,tf,tf
192340,192339,465414,463016,tf,tf
192340,192367,465414,463020,tf,tf
192416,192340,465415,465414,ft,ft
192483,192615,465512,465523,tf,tf
192483,192616,465512,465515,tf,ft
192616,192483,465515,465512,tf,ft
192615,192483,465523,465512,ft,ft
191852,191851,462672,462680,tf,tf
4084963,191851,462673,462680,tf,tf
191853,198075,462686,462685,tf,tf
191853,199834,462686,462907,tf,tf
192410,191853,462689,462686,tf,ft
199834,192410,462907,462689,ft,ft
199834,191853,462907,462686,ft,ft
191809,192410,462688,462689,tf,tf
192410,192410,462689,462689,ft,tf
192410,191808,462689,462731,ft,tf
192410,191809,462689,462688,ft,ft
191808,192410,462731,462689,ft,tf
192003,191967,465639,465906,tf,ft
192002,191967,465672,465906,ft,ft
191967,192003,465906,465639,tf,ft
191967,192002,465906,465672,tf,tf
191780,191780,462659,462659,tf,ft
192411,192411,462687,462687,ft,tf
191780,191780,462659,462659,ft,tf
191781,191781,462640,462640,ft,tf
198256,190964,465194,465196,ft,tf
190964,198257,465196,465199,ft,ft
190964,198256,465196,465194,ft,tf
198257,190964,465199,465196,tf,tf
191788,190656,462706,466528,ft,tf
4142628,190656,462715,466528,tf,tf
190395,190396,466524,466523,ft,ft
190389,190692,466440,466441,ft,ft
190692,4077671,466441,466442,tf,ft
190692,190389,466441,466440,tf,tf
4077671,190692,466442,466441,tf,ft
191189,190885,466002,466025,tf,ft
191188,190885,466024,466025,ft,ft
190885,191189,466025,466002,tf,ft
190885,192001,466025,466047,tf,tf
190885,191188,466025,466024,tf,tf
192001,190885,466047,466025,ft,ft
190973,190907,466014,466012,ft,ft
190974,190907,466015,466012,tf,ft
190885,190886,466025,466026,ft,ft
190885,190755,466025,466023,ft,tf
190886,190885,466026,466025,tf,tf
190755,190857,466023,465955,tf,tf
195373,198440,470187,470288,ft,tf
195374,198440,470191,470288,tf,tf
198440,195373,470288,470187,ft,tf
198440,195374,470288,470191,ft,ft
4091350,4091346,466448,466459,ft,ft
4091350,4091347,466448,466449,ft,tf
4091347,4091350,466449,466448,ft,tf
4091347,4091346,466449,466459,ft,ft
4091347,4091348,466449,466453,ft,ft
4091348,4091347,466453,466449,tf,tf
4091348,4091346,466453,466459,tf,ft
4091346,4091348,466459,466453,tf,ft
4091346,4091347,466459,466449,tf,tf
4091346,4091350,466459,466448,tf,tf
191033,4054335,463255,463283,ft,ft
191033,191179,463255,463278,ft,tf
191179,191033,463278,463255,ft,tf
4054335,191033,463283,463255,tf,tf
195255,195254,470207,470221,tf,tf
195255,195414,470207,470209,tf,ft
195414,195255,470209,470207,tf,ft
195254,195255,470221,470207,ft,ft
191178,191045,463276,463277,ft,ft
191045,191179,463277,463278,tf,ft
191045,191178,463277,463276,tf,tf
191179,191045,463278,463277,tf,ft
190208,190205,470027,470069,ft,tf
190312,190205,470028,470069,ft,tf
190205,190208,470069,470027,ft,tf
190205,190312,470069,470028,ft,tf
190800,197938,465713,465715,ft,tf
190800,4144354,465713,465732,ft,ft
197938,190800,465715,465713,ft,tf
4144354,190800,465732,465713,tf,tf
197938,191010,465715,465774,tf,ft
197939,191010,465737,465774,ft,ft
191010,197938,465774,465715,tf,ft
191010,197939,465774,465737,tf,tf
4163879,191405,460505,460510,ft,tf
191405,4163879,460510,460505,ft,tf
191405,4153649,460510,460739,ft,tf
191405,4153648,460510,460511,ft,ft
4153648,191405,460511,460510,tf,tf
4153649,191405,460739,460510,ft,tf
4080550,4080487,463432,463452,tf,ft
4080487,4080550,463452,463432,tf,ft
4080487,4080166,463452,463599,tf,tf
197939,190877,465737,465803,tf,ft
190877,197939,465803,465737,tf,ft
198439,199821,470251,470252,tf,ft
198439,4142236,470251,470256,tf,tf
198439,4077931,470251,470253,tf,ft
199821,198439,470252,470251,tf,ft
4077931,198439,470253,470251,tf,ft
4142236,198439,470256,470251,ft,ft
4142235,4142236,470267,470256,ft,ft
4077922,190694,466548,466575,ft,tf
190022,191263,463397,463454,ft,ft
190023,191263,463398,463454,tf,ft
191263,190023,463454,463398,tf,ft
191263,190022,463454,463397,tf,tf
198062,198064,468520,468523,ft,tf
198064,198063,468523,468535,ft,ft
198064,191021,468523,468552,ft,ft
198064,198062,468523,468520,ft,tf
198063,198064,468535,468523,tf,tf
191021,198064,468552,468523,tf,tf
190594,190602,468519,468526,tf,tf
190593,190602,468521,468526,ft,tf
190602,190594,468526,468519,ft,ft
197945,190527,468515,468525,tf,ft
190594,190527,468519,468525,ft,ft
190527,197945,468525,468515,tf,ft
190536,190615,469310,469309,ft,tf
189993,189992,463888,463890,tf,tf
189992,189993,463890,463888,ft,ft
189501,189553,469297,469330,tf,ft
189501,190366,469297,469298,tf,ft
189501,189552,469297,469307,tf,tf
190366,189501,469298,469297,tf,ft
189552,189501,469307,469297,ft,ft
189553,189501,469330,469297,tf,ft
189505,189503,469301,469313,ft,ft
189503,189506,469313,469352,tf,ft
189503,189505,469313,469301,tf,tf
189506,189503,469352,469313,tf,ft
139239,139246,453267,453268,tf,ft
139246,139239,453268,453267,tf,ft
139246,139238,453268,453276,tf,tf
139238,139246,453276,453268,ft,ft
195677,195682,471022,471467,tf,ft
195681,195682,471023,471467,ft,ft
195676,195682,471108,471467,ft,ft
195682,195676,471467,471108,tf,tf
195682,195681,471467,471023,tf,tf
195682,195677,471467,471022,tf,ft
189624,189624,468741,468741,tf,ft
189625,189625,468751,468751,tf,ft
189625,4078363,468751,468753,tf,tf
4084957,4084958,468722,468725,tf,ft
189625,189625,468751,468751,ft,tf
189301,189316,464332,464352,tf,tf
188850,189562,467922,469468,tf,tf
188850,188852,467922,467932,tf,ft
188852,188850,467932,467922,tf,ft
189562,188850,469468,467922,ft,ft
187683,187683,467910,467910,tf,ft
187683,198114,467910,467906,tf,ft
187683,4084994,467910,467908,tf,tf
195918,195964,238008,238015,tf,tf
195964,195918,238015,238008,ft,ft
199125,199114,462111,462117,tf,tf
199114,199113,462117,462126,ft,tf
199114,188654,462117,462142,ft,tf
199114,199125,462117,462111,ft,ft
199113,199114,462126,462117,ft,tf
188654,199114,462142,462117,ft,tf
188445,188476,461347,461349,ft,tf
188477,188476,461348,461349,tf,tf
188476,188477,461349,461348,ft,ft
188476,188445,461349,461347,ft,tf
188037,188227,467842,467952,tf,tf
188041,188227,467845,467952,ft,tf
188227,4084906,467952,467828,ft,ft
188227,188037,467952,467842,ft,ft
188227,188041,467952,467845,ft,tf
4080962,4080961,460917,460978,ft,ft
4080961,4080962,460978,460917,tf,tf
4080727,188516,460914,460918,tf,tf
188516,4166287,460918,461411,ft,ft
188516,4080727,460918,460914,ft,ft
188516,188549,460918,460955,ft,tf
188549,188516,460955,460918,ft,tf
4166287,188516,461411,460918,tf,tf
188036,4143880,467826,467830,tf,ft
188036,4084906,467826,467828,tf,tf
4084906,188036,467828,467826,ft,ft
4143880,188036,467830,467826,tf,ft
4090418,4090417,467835,467838,ft,ft
4090417,4090418,467838,467835,tf,tf
188044,188230,467823,467825,tf,tf
188031,188230,467824,467825,tf,tf
188230,188044,467825,467823,ft,ft
188230,188031,467825,467824,ft,ft
188230,4143986,467825,467829,ft,tf
4143986,188230,467829,467825,ft,tf
198654,198654,469815,469815,tf,ft
198650,198650,651315,651315,ft,tf
199308,199308,470432,470432,ft,tf
199309,198641,470543,470430,tf,tf
198653,198653,469814,469814,tf,ft
198654,198654,469815,469815,ft,tf
198634,198634,469812,469812,tf,ft
198653,198653,469814,469814,ft,tf
199299,199299,469810,469810,tf,ft
198634,198634,469812,469812,ft,tf
199299,199299,469810,469810,ft,tf
199300,199300,469816,469816,tf,ft
199307,199307,470431,470431,ft,tf
199308,199308,470432,470432,tf,ft
199308,198643,470432,470433,tf,tf
198643,199308,470433,470432,ft,ft
199300,199300,469816,469816,ft,tf
198633,198633,469817,469817,tf,ft
198639,198639,470429,470429,ft,tf
199307,199307,470431,470431,tf,ft
198633,198633,469817,469817,ft,tf
198638,198638,470379,470379,tf,ft
4143941,4143949,467621,467676,tf,tf
4143991,4143949,467664,467676,ft,tf
4143949,4143991,467676,467664,ft,tf
4143949,4143941,467676,467621,ft,ft
198640,198640,470428,470428,ft,tf
198639,198639,470429,470429,tf,ft
198638,198638,470379,470379,ft,tf
198637,198637,470380,470380,tf,ft
198637,198637,470380,470380,ft,tf
198640,198640,470428,470428,tf,ft
4080203,199810,468342,468499,tf,tf
199810,4080203,468499,468342,ft,ft
198649,198649,238768,238768,ft,tf
198650,198650,651315,651315,tf,ft
167423,167423,461437,461437,ft,tf
167533,167422,461436,461440,tf,tf
4054232,4054392,462222,462228,ft,tf
4054391,4054392,462227,462228,tf,tf
4054392,4054232,462228,462222,ft,tf
4054392,4054391,462228,462227,ft,ft
197202,197202,237565,237565,tf,ft
197193,197193,237746,237746,ft,tf
167531,167422,461434,461440,tf,ft
167422,167531,461440,461434,tf,ft
167422,167526,461440,461790,tf,tf
167526,167422,461790,461440,ft,ft
198648,198648,238727,238727,ft,tf
198649,198649,238768,238768,tf,ft
188314,188336,467680,467681,ft,ft
188314,188315,467680,467804,ft,ft
188336,188314,467681,467680,tf,tf
188315,188314,467804,467680,tf,tf
197202,197202,237565,237565,ft,tf
197201,197201,237571,237571,tf,ft
4079611,188488,460804,460948,ft,tf
4143819,188488,460806,460948,tf,tf
4166281,188488,460908,460948,tf,tf
188488,4143819,460948,460806,ft,ft
188488,4166281,460948,460908,ft,ft
188488,4079611,460948,460804,ft,tf
197195,197195,237741,237741,ft,tf
197193,197193,237746,237746,tf,ft
197195,197195,237741,237741,tf,ft
197194,197194,237744,237744,ft,tf
197194,197194,237744,237744,tf,ft
199298,199298,237752,237752,ft,tf
198647,198647,237751,237751,ft,tf
198648,198648,238727,238727,tf,ft
198647,198647,237751,237751,tf,ft
199298,199298,237752,237752,tf,ft
187685,4085018,467638,467637,tf,ft
167400,167479,461484,461485,tf,ft
167479,167400,461485,461484,tf,ft
167479,167478,461485,461503,tf,tf
167478,167479,461503,461485,ft,ft
197197,197197,237570,237570,tf,ft
197201,197201,237571,237571,ft,tf
197198,197198,237568,237568,tf,ft
197197,197197,237570,237570,ft,tf
197198,197198,237568,237568,ft,tf
197199,197199,237572,237572,tf,ft
4106440,4106441,467651,467657,ft,ft
4106441,4106440,467657,467651,tf,tf
197199,197199,237572,237572,ft,tf
197208,197208,237643,237643,tf,ft
4142017,4143840,469105,469118,ft,tf
4142017,4143841,469105,469119,ft,ft
4143840,4142017,469118,469105,ft,tf
4143841,4142017,469119,469105,tf,tf
167448,167421,461424,461460,tf,tf
167421,167448,461460,461424,ft,ft
167421,167447,461460,461461,ft,tf
167447,167421,461461,461460,ft,tf
167457,167458,461543,461544,ft,ft
167458,167457,461544,461543,tf,tf
167458,167465,461544,461545,tf,tf
167465,167458,461545,461544,ft,ft
197207,197207,237588,237588,tf,ft
197208,197208,237643,237643,ft,tf
197207,197207,237588,237588,ft,tf
197216,197216,237591,237591,tf,ft
197216,197216,237591,237591,ft,tf
199402,199402,237592,237592,tf,ft
199402,199402,237592,237592,ft,tf
197179,197179,237596,237596,tf,ft
199403,199403,237599,237599,ft,tf
199404,199404,237600,237600,tf,ft
197180,197180,237597,237597,tf,ft
199404,199404,237600,237600,ft,tf
197180,197180,237597,237597,ft,tf
187188,196341,493833,493885,ft,ft
196341,187188,493885,493833,tf,tf
187178,187184,493805,493807,ft,ft
187184,187178,493807,493805,tf,tf
187184,187179,493807,493815,tf,ft
187179,187184,493815,493807,tf,ft
187119,187137,492284,492305,ft,tf
187119,199795,492284,492285,ft,ft
199795,187119,492285,492284,tf,tf
187137,187119,492305,492284,ft,tf
196625,196624,492999,493051,tf,tf
196625,196623,492999,493066,tf,ft
196624,196625,493051,492999,ft,ft
196623,196625,493066,492999,tf,ft
196781,196940,492991,492993,ft,ft
196781,196939,492991,492992,ft,tf
196939,196781,492992,492991,ft,tf
196940,196781,492993,492991,tf,tf
369194,369296,383740,383745,ft,tf
369194,369195,383740,384154,ft,ft
369194,369300,383740,384002,ft,ft
369296,369195,383745,384154,ft,ft
369296,369194,383745,383740,ft,tf
369300,369194,384002,383740,tf,tf
369300,369195,384002,384154,tf,ft
369195,369300,384154,384002,tf,ft
369195,369194,384154,383740,tf,tf
369195,369296,384154,383745,tf,tf
197013,196695,492961,493213,tf,tf
199868,196695,493161,493213,ft,tf
